These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Irina Petropavlovskikh: Irina.Petro@noaa.gov (303-497-6279)
Audra McClure-Begley: Audra.mcclure@noaa.gov
Peter Effertz: Peter.Effertz@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR MON DAY HR O3(PPB)
BRW 2021 04 01 00 29.94
BRW 2021 04 01 01 31.73
BRW 2021 04 01 02 31.29
BRW 2021 04 01 03 30.42
BRW 2021 04 01 04 30.11
BRW 2021 04 01 05 29.8
BRW 2021 04 01 06 30.18
BRW 2021 04 01 07 29.22
BRW 2021 04 01 08 29.83
BRW 2021 04 01 09 29.6
BRW 2021 04 01 10 29.52
BRW 2021 04 01 11 30.1
BRW 2021 04 01 12 29.32
BRW 2021 04 01 13 29.98
BRW 2021 04 01 14 29.74
BRW 2021 04 01 15 29.44
BRW 2021 04 01 16 30.75
BRW 2021 04 01 17 30.39
BRW 2021 04 01 18 30.62
BRW 2021 04 01 19 30.87
BRW 2021 04 01 20 29.9
BRW 2021 04 01 21 29.79
BRW 2021 04 01 22 31.54
BRW 2021 04 01 23 31.02
BRW 2021 04 02 00 30.43
BRW 2021 04 02 01 30.1
BRW 2021 04 02 02 28.15
BRW 2021 04 02 03 28.76
BRW 2021 04 02 04 26.87
BRW 2021 04 02 05 26.36
BRW 2021 04 02 06 26.14
BRW 2021 04 02 07 26.81
BRW 2021 04 02 08 26.25
BRW 2021 04 02 09 30.86
BRW 2021 04 02 10 27.14
BRW 2021 04 02 11 28.35
BRW 2021 04 02 12 24.49
BRW 2021 04 02 13 25.69
BRW 2021 04 02 14 24.17
BRW 2021 04 02 15 22.87
BRW 2021 04 02 16 23.5
BRW 2021 04 02 17 24.44
BRW 2021 04 02 18 23.03
BRW 2021 04 02 19 23.81
BRW 2021 04 02 20 23.21
BRW 2021 04 02 21 23.8
BRW 2021 04 02 22 23.66
BRW 2021 04 02 23 22.24
BRW 2021 04 03 00 21.71
BRW 2021 04 03 01 20.48
BRW 2021 04 03 02 18.07
BRW 2021 04 03 03 18.67
BRW 2021 04 03 04 17.94
BRW 2021 04 03 05 18.11
BRW 2021 04 03 06 19.65
BRW 2021 04 03 07 19.29
BRW 2021 04 03 08 14.13
BRW 2021 04 03 09 13.92
BRW 2021 04 03 10 11.23
BRW 2021 04 03 11 10.46
BRW 2021 04 03 12 9.07
BRW 2021 04 03 13 11.01
BRW 2021 04 03 14 8.96
BRW 2021 04 03 15 10.99
BRW 2021 04 03 16 9.38
BRW 2021 04 03 17 7.58
BRW 2021 04 03 18 10.26
BRW 2021 04 03 19 11.24
BRW 2021 04 03 20 11.51
BRW 2021 04 03 21 8.06
BRW 2021 04 03 22 5.64
BRW 2021 04 03 23 6.15
BRW 2021 04 04 00 5.05
BRW 2021 04 04 01 5.42
BRW 2021 04 04 02 7.75
BRW 2021 04 04 03 10.83
BRW 2021 04 04 04 12.36
BRW 2021 04 04 05 12.94
BRW 2021 04 04 06 16.21
BRW 2021 04 04 07 18.19
BRW 2021 04 04 08 20.69
BRW 2021 04 04 09 23.28
BRW 2021 04 04 10 25.97
BRW 2021 04 04 11 24.82
BRW 2021 04 04 12 25.48
BRW 2021 04 04 13 26.39
BRW 2021 04 04 14 29.01
BRW 2021 04 04 15 31.08
BRW 2021 04 04 16 30.33
BRW 2021 04 04 17 32.67
BRW 2021 04 04 18 33.18
BRW 2021 04 04 19 30.09
BRW 2021 04 04 20 30.55
BRW 2021 04 04 21 33.69
BRW 2021 04 04 22 32.22
BRW 2021 04 04 23 32.0
BRW 2021 04 05 00 31.84
BRW 2021 04 05 01 30.0
BRW 2021 04 05 02 28.68
BRW 2021 04 05 03 29.27
BRW 2021 04 05 04 26.88
BRW 2021 04 05 05 27.42
BRW 2021 04 05 06 24.17
BRW 2021 04 05 07 25.87
BRW 2021 04 05 08 26.85
BRW 2021 04 05 09 23.66
BRW 2021 04 05 10 21.64
BRW 2021 04 05 11 21.83
BRW 2021 04 05 12 25.02
BRW 2021 04 05 13 28.16
BRW 2021 04 05 14 27.54
BRW 2021 04 05 15 28.81
BRW 2021 04 05 16 28.89
BRW 2021 04 05 17 28.39
BRW 2021 04 05 18 27.99
BRW 2021 04 05 19 25.3
BRW 2021 04 05 20 28.2
BRW 2021 04 05 21 26.45
BRW 2021 04 05 22 22.92
BRW 2021 04 05 23 23.12
BRW 2021 04 06 00 22.16
BRW 2021 04 06 01 24.99
BRW 2021 04 06 02 22.03
BRW 2021 04 06 03 22.06
BRW 2021 04 06 04 21.97
BRW 2021 04 06 05 23.66
BRW 2021 04 06 06 24.56
BRW 2021 04 06 07 22.45
BRW 2021 04 06 08 23.51
BRW 2021 04 06 09 23.27
BRW 2021 04 06 10 20.82
BRW 2021 04 06 11 21.55
BRW 2021 04 06 12 22.95
BRW 2021 04 06 13 21.75
BRW 2021 04 06 14 19.94
BRW 2021 04 06 15 17.48
BRW 2021 04 06 16 18.25
BRW 2021 04 06 17 19.26
BRW 2021 04 06 18 19.51
BRW 2021 04 06 19 17.59
BRW 2021 04 06 20 15.41
BRW 2021 04 06 21 14.39
BRW 2021 04 06 22 19.63
BRW 2021 04 06 23 19.31
BRW 2021 04 07 00 26.13
BRW 2021 04 07 01 26.05
BRW 2021 04 07 02 25.72
BRW 2021 04 07 03 26.59
BRW 2021 04 07 04 27.4
BRW 2021 04 07 05 24.44
BRW 2021 04 07 06 14.55
BRW 2021 04 07 07 10.83
BRW 2021 04 07 08 7.21
BRW 2021 04 07 09 4.38
BRW 2021 04 07 10 3.74
BRW 2021 04 07 11 3.47
BRW 2021 04 07 12 4.81
BRW 2021 04 07 13 4.19
BRW 2021 04 07 14 2.46
BRW 2021 04 07 15 1.52
BRW 2021 04 07 16 1.35
BRW 2021 04 07 17 0.73
BRW 2021 04 07 18 0.74
BRW 2021 04 07 19 0.77
BRW 2021 04 07 20 0.53
BRW 2021 04 07 21 0.96
BRW 2021 04 07 22 0.72
BRW 2021 04 07 23 0.74
BRW 2021 04 08 00 0.93
BRW 2021 04 08 01 0.76
BRW 2021 04 08 02 0.75
BRW 2021 04 08 03 0.61
BRW 2021 04 08 04 0.7
BRW 2021 04 08 05 0.61
BRW 2021 04 08 06 0.6
BRW 2021 04 08 07 0.54
BRW 2021 04 08 08 0.57
BRW 2021 04 08 09 0.59
BRW 2021 04 08 10 0.69
BRW 2021 04 08 11 0.61
BRW 2021 04 08 12 0.71
BRW 2021 04 08 13 0.62
BRW 2021 04 08 14 0.61
BRW 2021 04 08 15 0.73
BRW 2021 04 08 16 0.68
BRW 2021 04 08 17 1.12
BRW 2021 04 08 18 1.08
BRW 2021 04 08 19 1.15
BRW 2021 04 08 20 1.15
BRW 2021 04 08 21 1.22
BRW 2021 04 08 22 1.14
BRW 2021 04 08 23 1.42
BRW 2021 04 09 00 1.34
BRW 2021 04 09 01 1.19
BRW 2021 04 09 02 1.37
BRW 2021 04 09 03 1.78
BRW 2021 04 09 04 1.72
BRW 2021 04 09 05 2.77
BRW 2021 04 09 06 3.32
BRW 2021 04 09 07 2.67
BRW 2021 04 09 08 2.36
BRW 2021 04 09 09 1.5
BRW 2021 04 09 10 1.32
BRW 2021 04 09 11 1.09
BRW 2021 04 09 12 1.09
BRW 2021 04 09 13 1.24
BRW 2021 04 09 14 1.53
BRW 2021 04 09 15 1.68
BRW 2021 04 09 16 1.8
BRW 2021 04 09 17 1.67
BRW 2021 04 09 18 1.72
BRW 2021 04 09 19 1.83
BRW 2021 04 09 20 1.96
BRW 2021 04 09 21 2.4
BRW 2021 04 09 22 3.06
BRW 2021 04 09 23 2.95
BRW 2021 04 10 00 3.05
BRW 2021 04 10 01 3.43
BRW 2021 04 10 02 4.95
BRW 2021 04 10 03 5.17
BRW 2021 04 10 04 7.34
BRW 2021 04 10 05 7.55
BRW 2021 04 10 06 7.02
BRW 2021 04 10 07 7.0
BRW 2021 04 10 08 5.37
BRW 2021 04 10 09 6.95
BRW 2021 04 10 10 8.54
BRW 2021 04 10 11 7.04
BRW 2021 04 10 12 8.25
BRW 2021 04 10 13 8.83
BRW 2021 04 10 14 8.49
BRW 2021 04 10 15 7.38
BRW 2021 04 10 16 6.57
BRW 2021 04 10 17 7.52
BRW 2021 04 10 18 7.68
BRW 2021 04 10 19 9.83
BRW 2021 04 10 20 10.59
BRW 2021 04 10 21 12.45
BRW 2021 04 10 22 12.84
BRW 2021 04 10 23 14.96
BRW 2021 04 11 00 17.84
BRW 2021 04 11 01 19.11
BRW 2021 04 11 02 19.96
BRW 2021 04 11 03 19.31
BRW 2021 04 11 04 17.18
BRW 2021 04 11 05 16.09
BRW 2021 04 11 06 13.56
BRW 2021 04 11 07 10.11
BRW 2021 04 11 08 8.97
BRW 2021 04 11 09 9.85
BRW 2021 04 11 10 8.81
BRW 2021 04 11 11 7.91
BRW 2021 04 11 12 8.66
BRW 2021 04 11 13 9.53
BRW 2021 04 11 14 10.14
BRW 2021 04 11 15 8.92
BRW 2021 04 11 16 10.88
BRW 2021 04 11 17 9.47
BRW 2021 04 11 18 9.32
BRW 2021 04 11 19 11.02
BRW 2021 04 11 20 9.71
BRW 2021 04 11 21 9.43
BRW 2021 04 11 22 9.81
BRW 2021 04 11 23 11.31
BRW 2021 04 12 00 12.27
BRW 2021 04 12 01 12.82
BRW 2021 04 12 02 12.77
BRW 2021 04 12 03 11.16
BRW 2021 04 12 04 8.82
BRW 2021 04 12 05 7.99
BRW 2021 04 12 06 7.37
BRW 2021 04 12 07 6.57
BRW 2021 04 12 08 5.94
BRW 2021 04 12 09 5.7
BRW 2021 04 12 10 5.25
BRW 2021 04 12 11 4.81
BRW 2021 04 12 12 4.26
BRW 2021 04 12 13 5.03
BRW 2021 04 12 14 7.68
BRW 2021 04 12 15 10.69
BRW 2021 04 12 16 12.6
BRW 2021 04 12 17 16.85
BRW 2021 04 12 18 19.73
BRW 2021 04 12 19 22.71
BRW 2021 04 12 20 29.49
BRW 2021 04 12 21 30.58
BRW 2021 04 12 22 29.17
BRW 2021 04 12 23 28.98
BRW 2021 04 13 00 28.14
BRW 2021 04 13 01 26.37
BRW 2021 04 13 02 24.93
BRW 2021 04 13 03 23.49
BRW 2021 04 13 04 23.03
BRW 2021 04 13 05 21.73
BRW 2021 04 13 06 21.46
BRW 2021 04 13 07 21.23
BRW 2021 04 13 08 19.95
BRW 2021 04 13 09 19.13
BRW 2021 04 13 10 19.19
BRW 2021 04 13 11 18.47
BRW 2021 04 13 12 18.23
BRW 2021 04 13 13 17.87
