Date,Time,Elapsed Seconds,Latitude,Longitude,Particulate Matter-PM10 (ug/m^3),Particulate Matter-PM2.5 (ug/m^3),Particulate Matter-PM1.0 (ug/m^3),Particulate Matter-10 Min. Avg. PM10 (ug/m^3),Particulate Matter-10 Min. Avg. PM2.5 (ug/m^3),Particulate Matter-10 Min. Avg. PM1.0 (ug/m^3),Carbon Dioxide-CO2; (ppm),Carbon Dioxide-Avg. (ppm),Ozone-Avg. (ppb),Ozone-O3; (ppb),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (degF),Humidity-Humidity (%RH),Light Intensity-Light (lux)
5/18/2021,8:00:27 AM,0,41.96256,-88.12440,24,2,2,24,2,2,399,399,240,240,8.3,8.3,995.37,71.5,52.4,387.6
5/18/2021,8:00:28 AM,1,41.96258,-88.12439,30,20,12,27,11,7,403,401,456,672,67.6,37.9,995.36,71.5,52.4,387.6
5/18/2021,8:00:29 AM,2,41.96258,-88.12439,38,32,16,30.7,18,10,404,402,656,1056,92.8,56.2,995.4,71.5,52.4,385.3
5/18/2021,8:00:30 AM,3,41.96257,-88.12440,42,36,22,33.5,22.5,13,404,402.5,840,1392,102.2,67.7,995.36,71.5,52.4,385.3
5/18/2021,8:00:31 AM,4,41.96257,-88.12440,24,21,12,31.6,22.2,12.8,405,403,768,480,69.7,68.1,995.36,71.5,52.4,387.6
5/18/2021,8:00:32 AM,5,41.96257,-88.12440,26,24,13,30.7,22.5,12.8,403,403,872,1392,76,69.4,995.34,71.5,52.4,387.6
5/18/2021,8:00:33 AM,6,41.96257,-88.12440,26,23,12,30,22.6,12.7,404,403.1,788.6,288,73.9,70.1,995.36,71.5,52.4,387.6
5/18/2021,8:00:34 AM,7,41.96257,-88.12440,26,22,12,29.5,22.5,12.6,404,403.3,876,1488,71.8,70.3,995.34,71.4,52.4,385.3
5/18/2021,8:00:35 AM,8,41.96257,-88.12441,26,22,12,29.1,22.4,12.6,403,403.2,901.3,1104,71.8,70.5,995.36,71.4,52.4,385.3
5/18/2021,8:00:36 AM,9,41.96257,-88.12441,27,24,13,28.9,22.6,12.6,404,403.3,888,768,76,71,995.36,71.4,52.4,385.3
5/18/2021,8:00:37 AM,10,41.96257,-88.12441,29,26,13,28.9,22.9,12.6,404,403.4,816,96,80.2,71.8,995.36,71.4,52.4,385.3
5/18/2021,8:00:38 AM,11,41.96256,-88.12441,28,25,13,28.8,23.1,12.7,408,403.8,672,-912,78.1,72.4,995.38,71.4,52.4,385.3
5/18/2021,8:00:39 AM,12,41.96256,-88.12441,26,22,11,28.6,23,12.5,407,404,542.8,-1008,71.8,72.3,995.35,71.4,52.4,387.6
5/18/2021,8:00:40 AM,13,41.96256,-88.12441,25,20,10,28.4,22.8,12.4,405,404.1,630.9,1776,67.6,72,995.37,71.4,52.4,385.3
5/18/2021,8:00:41 AM,14,41.96256,-88.12441,25,20,11,28.1,22.6,12.3,403,404,598.4,144,67.6,71.7,995.35,71.4,52.4,385.3
5/18/2021,8:00:42 AM,15,41.96256,-88.12441,24,22,12,27.9,22.6,12.3,398,403.6,489,-1152,71.8,71.7,995.37,71.4,53.7,389
5/18/2021,8:00:43 AM,16,41.96256,-88.12441,23,21,12,27.6,22.5,12.2,400,403.4,542.1,1392,69.7,71.6,995.4,71.4,52.4,389
5/18/2021,8:00:44 AM,17,41.96256,-88.12442,23,21,12,27.3,22.4,12.2,403,403.4,480,-576,69.7,71.5,995.38,71.4,53.7,389
5/18/2021,8:00:45 AM,18,41.96256,-88.12442,23,22,12,27.1,22.4,12.2,405,403.5,381.5,-1392,71.8,71.5,995.35,71.4,53.7,389
