"TOA5","MET","CR1000","84938","CR1000.Std.31.02","CPU:SGP_E13_MET_20190408.cr1","26872","Table1"
"TIMESTAMP","RECORD","batt_volt","PTemp","Pressure_kPa","Temp_C_Avg","Temp_C_Std","RH_Avg","RH_Std","Vap_Pressure_kPa_Avg","Vap_Pressure_kPa_Std","WS_MS_S_WVT","WS_MS_U_WVT","WindDir_DU_WVT","WindDir_SDU_WVT","rain_mm_Tot","rain_mm_min_corrected","PWDa_ID","PWDa_Alarms","PWDa_Vis_Avg_1min","PWDa_Vis_Avg_10min","PWDa_Code_instant","PWDa_Code_15min","PWDa_Code_1hour","PWDa_H2O_Int_Avg_1min","PWDa_Total_H2O_mm","PWDa_Total_Snow_mm","PCP_Rate","WS_Slope","WS_Offset","TBRG_SN","RainCoefA","RainCoefB"
"TS","RN","","","","","","","","","","","","Deg","Deg","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Avg","Std","Avg","Std","Avg","Std","WVc","WVc","WVc","WVc","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-11-05 13:00:00",303333,11.73,6.048,98.78,2.24,0.029,87.6,0.318,0.629,0.002,3.203,3.202,17.94,1.732,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:01:00",303334,11.72,6.048,98.78,2.299,0.017,87.5,0.144,0.631,0.001,3.19,3.189,17.28,1.51,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:02:00",303335,12.02,6.048,98.78,2.309,0.016,87,0.193,0.628,0.001,3.174,3.172,15.98,1.805,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:03:00",303336,11.7,6.048,98.78,2.331,0.014,87.1,0.157,0.629,0.001,3.157,3.153,15.74,3.01,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:04:00",303337,11.71,6.048,98.78,2.334,0.014,86.9,0.11,0.628,0.001,3.231,3.228,15.53,2.518,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:05:00",303338,11.73,6.048,98.78,2.346,0.012,86.5,0.236,0.625,0.002,3.183,3.182,14.41,1.643,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:06:00",303339,11.72,6.048,98.78,2.325,0.017,86.4,0.135,0.624,0.001,3.226,3.225,14.45,1.435,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:07:00",303340,11.71,6.048,98.78,2.248,0.028,86.2,0.213,0.619,0.002,3.187,3.185,14.47,1.979,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:08:00",303341,11.7,6.048,98.78,2.196,0.014,86.5,0.171,0.619,0.001,3.187,3.185,16,1.837,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:09:00",303342,11.73,6.048,98.78,2.146,0.029,86.7,0.203,0.618,0.002,3.211,3.21,16.61,1.496,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:10:00",303343,11.71,6.048,98.78,2.102,0.021,87.2,0.11,0.619,0.001,3.139,3.138,18.24,1.405,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:11:00",303344,11.73,6.048,98.78,2.087,0.018,87.1,0.136,0.618,0.001,3.051,3.05,18.9,1.514,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:12:00",303345,11.71,6.048,98.78,2.155,0.032,87.6,0.105,0.625,0.002,3.054,3.053,18.56,1.463,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:13:00",303346,11.72,6.048,98.78,2.215,0.019,87.4,0.242,0.626,0.001,3.015,3.014,19.21,1.743,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:14:00",303347,11.72,6.068,98.78,2.273,0.029,87.3,0.097,0.628,0.001,3.095,3.093,20.07,2.072,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:15:00",303348,11.73,6.068,98.78,2.339,0.023,86.9,0.254,0.628,0.001,3.218,3.215,21.87,2.201,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:16:00",303349,11.72,6.091,98.78,2.429,0.038,86.9,0.155,0.632,0.001,3.262,3.26,21.61,2.05,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:17:00",303350,12,6.113,98.78,2.506,0.017,86.3,0.268,0.631,0.002,3.208,3.206,24.69,1.949,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:18:00",303351,11.71,6.113,98.78,2.544,0.015,86.1,0.126,0.632,0.001,3.134,3.13,25.54,2.868,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:19:00",303352,11.72,6.156,98.78,2.61,0.043,86.3,0.085,0.636,0.002,3.151,3.146,26.66,2.971,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:20:00",303353,11.7,6.199,98.79,2.712,0.028,86.2,0.114,0.64,0.001,3.337,3.333,28.25,2.932,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:21:00",303354,11.71,6.222,98.79,2.821,0.025,85.5,0.247,0.639,0.002,3.201,3.196,28.08,3.353,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:22:00",303355,11.71,6.242,98.79,2.896,0.043,85.5,0.124,0.643,0.001,3.221,3.218,25.42,2.556,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:23:00",303356,12.02,6.265,98.79,2.975,0.015,85,0.202,0.643,0.001,3.213,3.209,23.09,2.814,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:24:00",303357,11.71,6.308,98.8,2.99,0.015,84.6,0.101,0.64,0.001,3.232,3.228,21.69,3.142,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:25:00",303358,11.71,6.33,98.8,3.054,0.035,84.7,0.101,0.644,0.001,3.027,3.021,20.21,3.448,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:26:00",303359,12,6.373,98.79,3.134,0.029,84.4,0.249,0.645,0.001,2.867,2.861,21.39,3.439,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:27:00",303360,11.71,6.416,98.79,3.185,0.013,83.8,0.136,0.643,0.001,2.785,2.78,22.57,3.39,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:28:00",303361,11.7,6.439,98.79,3.239,0.032,84,0.117,0.647,0.001,2.782,2.776,20.92,3.519,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:29:00",303362,12.02,6.482,98.79,3.292,0.014,83.6,0.217,0.647,0.001,2.759,2.754,22.1,3.376,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
"2019-11-05 13:30:00",303363,11.7,6.524,98.8,3.314,0.016,83.3,0.137,0.645,0.002,2.937,2.931,18.37,3.439,0,0,1,0,20000,20000,0,0,0,0,62.31,14,0,0.098,0,118,0,1.024
