"TOA5","Heitronics-Apogee Comparison","CR1000X","9292","CR1000X.Std.03.01","CPU:Apogee-Heitronics-Analog.CR1X","46927","irt60s"
"TIMESTAMP","RECORD","sfc_ir_temp_Avg","sfc_ir_temp_Std","sfc_a_ir_temp_Avg","sfc_a_ir_temp_Std","logger_temp","logger_volt","logger_LiBat"
"TS","RN","Kelvin","Kelvin","Kelvin","Kelvin","Celsius","Volt","Volt"
"","","Avg","Std","Avg","Std","Smp","Smp","Smp"
"2022-07-15 18:57:00",0,318.3,0.062,318.1,0.342,26.34,13.64,3.93
"2022-07-15 18:58:00",1,318.1,0.347,317.7,1.452,26.38,13.64,3.931
"2022-07-15 18:59:00",2,318.5,0.201,318.1,0.587,26.4,13.64,3.931
"2022-07-15 19:00:00",3,318.2,0.214,319.2,0.875,26.42,13.64,3.931
"2022-07-15 19:01:00",4,317.6,0.322,317.4,1.086,26.43,13.64,3.931
"2022-07-15 19:02:00",5,317.8,0.245,317.7,0.743,26.43,13.62,3.933
"2022-07-15 19:03:00",6,318.4,0.665,319.2,1.631,26.43,13.63,3.931
"2022-07-15 19:04:00",7,318.3,0.183,317.6,0.676,26.43,13.63,3.931
"2022-07-15 19:05:00",8,318.2,0.124,317.7,0.78,26.42,13.63,3.931
"2022-07-15 19:06:00",9,318.3,0.265,318.1,0.791,26.41,13.62,3.931
"2022-07-15 19:07:00",10,318.8,0.245,319.2,1.137,26.39,13.62,3.934
"2022-07-15 19:08:00",11,318.5,0.302,318.6,1.286,26.37,13.62,3.931
"2022-07-15 19:09:00",12,318,0.147,318.1,1.023,26.36,13.61,3.931
"2022-07-15 19:10:00",13,317.7,0.285,317.4,1.255,26.34,13.62,3.934
"2022-07-15 19:11:00",14,317.3,0.195,316.4,1.123,26.32,13.62,3.931
"2022-07-15 19:12:00",15,318.1,0.457,318.4,1.426,26.31,13.62,3.931
"2022-07-15 19:13:00",16,318.4,0.213,319.9,1.141,26.29,13.62,3.931
"2022-07-15 19:14:00",17,317.2,0.354,316.4,0.855,26.27,13.63,3.931
"2022-07-15 19:15:00",18,317,0.307,316.5,1.274,26.26,13.63,3.931
"2022-07-15 19:16:00",19,317.5,0.234,317.4,0.724,26.25,13.63,3.931
"2022-07-15 19:17:00",20,318.5,0.26,318.8,0.957,26.24,13.63,3.931
"2022-07-15 19:18:00",21,319.3,0.153,319.8,0.585,26.23,13.62,3.931
"2022-07-15 19:19:00",22,319.5,0.228,321,0.575,26.22,13.62,3.931
"2022-07-15 19:20:00",23,318.4,0.712,318.4,2.416,26.21,13.62,3.936
"2022-07-15 19:21:00",24,317.9,0.254,317.9,1.004,26.2,13.63,3.931
"2022-07-15 19:22:00",25,318,0.318,318.3,1.366,26.19,13.63,3.93
"2022-07-15 19:23:00",26,317.6,0.243,316.6,0.945,26.18,13.63,3.93
"2022-07-15 19:24:00",27,317.1,0.146,316.3,0.736,26.17,13.62,3.93
